objectid,title,creator,date,text_label,description,subject,location,latitude,longitude,source,identifier,type,format,rights,rightsstatement,display_template,parentid,object_location,image_small,image_thumb,ext_link,DLOC permalink,Creator's Nationality,Publisher,Call Number/Accession Number,Credit Line,Item Type,Notes
a01,Spirit of Carnival 1,Sybil Atteck,1962,Spirit of Carnival 1,Oil on canvas. 48 x 66 inches.,,"Port of Spain, Trinidad & Tobago",10.648312,-61.512438,Trinidad & Tobago Central Bank Museum,,Image,image/jpg,Courtesy of Keith Atteck.,,image,,https://rjkooiker.com/img/a01.jpg,https://rjkooiker.com/img/small/a01_sm.jpg,https://rjkooiker.com/img/thumbs/a01_th.jpg,https://museum.centralbankarts.org.tt/theartcollection/1985-sybil-atteck-spirit-of-carnival-1/,,Trinidad & Tobago,,,,,
b01,"CARIFESTA '72 ; AUGUST 25 - SEPTEMBER 15 ; GUYANA, SOUTH AMERICA",Carifesta Secretariat,9/15/1972,Portrait of Lynette Dolphin,,Carifesta 72;Lynette Dolphin;Diplomacy;Guyana,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/b01.jpg,https://rjkooiker.com/img/small/b01_sm.jpg,https://rjkooiker.com/img/thumbs/b01_th.jpg,https://dloc.com/CA03599015/00001/citation,,Guyana,Guyana Lithographic Co.,,,Photograph,
b02,CARIFESTA '72 NEWSLETTER JUNE 1972,Carifesta Secretariat,6/1/1972,"Lynette Dolphin with Fitzroy Bryant, Minister of Education of St. Kitts and Nevis",,Carifesta 72;Lynette Dolphin;Diplomacy;Guyana;St. Kitts and Nevis,"Georgetown, Guyana",6.821438,-58.151563,"ML-77, Box 62, Folder 63, Errol Hill Papers, Rauner Special Collections Library, Dartmouth College",,Image,image/jpg,,,image,,https://rjkooiker.com/img/b02.jpg,https://rjkooiker.com/img/small/b02_sm.jpg,https://rjkooiker.com/img/thumbs/b02_th.jpg,https://archives-manuscripts.dartmouth.edu/repositories/2/archival_objects/433385,,Guyana,Carifesta Secretariat,,,Photograph,EXTERNAL
b03,CARIFESTA PAIR FOR CUBA,Guyana Graphic,1/12/1972,Article on Carifesta Diplomatic Trips,,Carifesta 72;Lynette Dolphin;Diplomacy;Guyana;Cuba,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/b03.jpg,https://rjkooiker.com/img/small/b03_sm.jpg,https://rjkooiker.com/img/thumbs/b03_th.jpg,https://dloc.com/CA00199613/00001/images,,Guyana,Guyana Graphic,,,Newspaper,
b04,CARIFESTA FINALE,n/a,9/17/1972,Brazilian Performer Gifts Lynette Dolphin Flowers at Carifesta Finale,,Carifesta 72;Lynette Dolphin;Diplomacy;Guyana;Brazil,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/b04.jpg,https://rjkooiker.com/img/small/b04_sm.jpg,https://rjkooiker.com/img/thumbs/b04_th.jpg,https://dloc.com/CA00100092/00001/citation,,Guyana,Sunday Chronicle,,,Photograph,
b05,"MESSAGE FROM LYNETTE DOLPHIN, CHAIRMAN OF THE DEPARTMENT OF CULTURE, GUYANA TO JULIO GARCIA ESPINOSA AND THE COMISION NACIONAL CARIFESTA '79, CUBA",Lynette Dolphin,7/16/1979,Lynette Dolphin's Message of Support for Carifesta '79 in Cuba,,Carifesta 79;Lynette Dolphin;Diplomacy;Guyana;Cuba,"Havana, Cuba",23.118688,-82.376063,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/b05.jpg,https://rjkooiker.com/img/small/b05_sm.jpg,https://rjkooiker.com/img/thumbs/b05_th.jpg,https://dloc.com/CA00100207/00001/images,,Guyana,Kaie,,,Photograph,
b06,MESSAGE FROM LYNETTE DOLPHIN TO WYCLIFFE BENNETT AND HIS COLLEAGUES,Lynette Dolphin,7/23/1976,Lynette Dolphin's Message of Support for Carifesta '76 in Jamaica,,Carifesta 76;Lynette Dolphin;Diplomacy;Guyana;Jamaica,"Kingston, Jamaica",18.001562,-76.771438,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/b06.jpg,https://rjkooiker.com/img/small/b06_sm.jpg,https://rjkooiker.com/img/thumbs/b06_th.jpg,https://dloc.com/CA00100200/00001/images,,Guyana,Kaie,,,Photograph,
c01,LOUISE BENNETT … (IMAGE),n/a,8/24/1972,"Louise Bennett, V.I.P.",,Carifesta 72;Louise Bennett;Diplomacy;Guyana;Jamaica,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/c01.jpg,https://rjkooiker.com/img/small/c01_sm.jpg,https://rjkooiker.com/img/thumbs/c01_th.jpg,https://dloc.com/CA00199978/00001/images,,Guyana,Guyana Graphic,,,Photograph,
c02,"JAMAICA'S FIRST LADY OF SONG AND FOLKLORE, MRS. LOUISE BENNETT-COVERLEY … (IMAGE)",n/a,8/27/1972,All Kinds of Louise,,Carifesta 72;Louise Bennett;Theater;Poetry;Guyana;Jamaica,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/c02.jpg,https://rjkooiker.com/img/small/c02_sm.jpg,https://rjkooiker.com/img/thumbs/c02_th.jpg,https://dloc.com/CA00199846/00001/images,,Guyana,Sunday Graphic,,,Photograph,
c03,MISS LOU AND AUNTEE CUMSEE ON STAGE TONIGHT,n/a,8/25/1972,Come Mek Me Hol Your Han,,Carifesta 72;Louise Bennett;Theater;Poetry;Guyana;Jamaica,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/c03.jpg,https://rjkooiker.com/img/small/c03_sm.jpg,https://rjkooiker.com/img/thumbs/c03_th.jpg,https://dloc.com/CA00199788/00001/images,,Guyana,Guyana Graphic,,,Newspaper,
c04,LANG TIME GAL ME NEVEH SEE YOU ... (IMAGE),n/a,9/10/1972,The Two Folk Sisters,,Carifesta 72;Louise Bennett;Theater;Poetry;Guyana;Jamaica,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/c04.jpg,https://rjkooiker.com/img/small/c04_sm.jpg,https://rjkooiker.com/img/thumbs/c04_th.jpg,https://dloc.com/CA00199961/00001/images,,,Sunday Guardian,,,Photograph,
c05,Stella Seh - First Carifesta,Barbara Gloudon,9/9/1972,Stellah Seh - First Carifesta,,Carifesta 72;Louise Bennett;Guyana;Jamaica,"Georgetown, Guyana",6.821438,-58.151563,"Yale University Library, HN223.5 G56 1991",,Text,application/pdf,,,pdf,,https://rjkooiker.com/img/c05.pdf,https://rjkooiker.com/img/small/c05_sm.jpg,https://rjkooiker.com/img/thumbs/c05_th.jpg,https://search.worldcat.org/title/25828078,,Jamaica,Institute of Jamaica Publications,,,Book,EXTERNAL
c06,Carifesta Rydim - Video,Louise Bennett;Errol Brewster,7/16/1979,Carifesta Rydim - An Inaugural Poem (Video),,Carifesta 79;Louise Bennett;Poetry;Cuba;Jamaica,"Havana, Cuba",23.118688,-82.376063,Banyan Archive,,MovingImage,video/mp4,,,video,,https://vimeo.com/924805315,https://rjkooiker.com/img/small/c06_sm.jpg,https://rjkooiker.com/img/thumbs/c06_th.jpg,https://video.alexanderstreet.com/watch/carifesta-cuba,,Jamaica;Guyana,Banyan Archive,,,Video,EXTERNAL
c07,Carifesta Rydim - Publication,Louise Bennett,7/16/1979,Carifesta Rydim - An Inaugural Poem (Publication),,Carifesta 79;Louise Bennett;Poetry;Cuba;Jamaica,"Havana, Cuba",23.118688,-82.376063,The International Portland Review,,Text,application/pdf,,,pdf,,https://rjkooiker.com/img/c07.pdf,https://rjkooiker.com/img/small/c07_sm.jpg,https://rjkooiker.com/img/thumbs/c07_th.jpg,https://books.google.com/books?id=isQNAQAAMAAJ&pg=PA223&dq=The+International+Portland+Review+%22louise+bennett%22&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwiXioHOn-2FAxWWlYkEHd1KBbQQ6AF6BAgEEAI,,Jamaica,The International Portland Review,,,Text,EXTERNAL
d01,Lorna Goodison by Frank Born,Frank Born,2014,Lorna Goodison,,Carifesta 76;Lorna Goodison;Jamaica,"Kingston, Jamaica",18.001562,-76.771438,https://www.frankborn.com/nav_links/poets.html,,Image,image/jpg,,,image,,https://rjkooiker.com/img/d01.jpg,https://rjkooiker.com/img/small/d01_sm.jpg,https://rjkooiker.com/img/thumbs/d01_th.jpg,https://www.frankborn.com/frank_imgs/projects/poets/Lorna022115.jpg,,United States,,,,Painting,EXTERNAL
