Title,Date,Country,Genre,Format,Time,Color,Production company,Production,Director,Screenplay,Editor,Sound,Camera,Synopsis
World of the Caribbean,1972,Guyana,Documentary,16 mm,106',Color,Guyana Information Services,"Brian Stuart-Young, Hutton G. Archer, Victor Forsythe",Brian Stuart-Young,Robert Moore,Jean Harding,"Godfrey John, Kenneth Roberts","Rudolph V. David, Orin Mitchell, Basil Roberts","Reel 1. Opens with general history of the Caribbean Islands. Procession of Caribbean ancestors. - Reel 2. Includes Jamaican National Dance Theatre, Cubad (a play with dance), folk dances from Aruba, Cuba, and French Guyana, a demonstration of Javanese dance, Haitian voodoo rites performed by Lavinia Williams and Ballet d'Haiti. - Reel 3. Includes Capoeira and carnival dances from Brazil, dances of Guadeloupe, St. Lucia, and the Antilles, a dance of Arawak Indians of Trinidad, dances of Surinam, Martinique, Venezuela, and Jamaica."
Carifesta 79,1979,Cuba,Documentary,35mm,18',Color,ECTV-FAR,Ubaldo Vela,Belkis Vega,Belkis Vega,Jorge Pérez,Omar Hechavarría,"Tomás Pintado,  Miguel Ángel Oro,	Raúl Booz","El documental muestra la actuación de un grupo de Trinidad-Tobago en el evento de Carifesta (Fiesta del Caribe) celebrado en La Habana en 1979. Banda de música, grupo danzario."
Algo Más Que El Mar De Los Piratas,1979,Cuba,Documentary,35 mm,67’,Color,ICAIC,Ricardo Ávila,Bernabé Hernández,"Bernabé Hernández, Guillermo Torres, Gloria Rolando, Vivian Argilagos",Iván Arocha,"Jerónimo Labrada, Héctor Cabrera, Leonardo Sorrell, Emilio Ramos",Rodolfo López,"La identidad cultural de los pueblos caribeños, con su diversidad de estilos y manifestaciones, durante el evento cultural CARIFESTA ’79."
Carifesta,1979,USA,Documentary,n/a,n/a,Color,Contemporary African-American Films (CAAF),n/a,George Sloan,n/a,n/a,n/a,n/a,Record of the Carifesta festival of Caribbean arts held in Jamaica.
Carifesta,1979,Trinidad and Tobago,Documentary,n/a,30',Color,"Banyan Productions, CARICOM Secretariat",,Errol Brewster,n/a,Chris Laird,n/a,Errol Brewster ,
Junto Al Golfo,1980,Cuba,Documentary,35 mm,20',Color,ICAIC,"Evelio Delgado, Jesús de la Cerda",Rigoberto López,"Nelson Rodríguez, Rigoberto López",Nelson Rodríguez,"Germinal Hernández, Juan Demósthene",Raúl Rodríguez Cabrera,"Con la participación de grupos danzarios, poetas, escritores del Caribe, presentes en La Habana durante la celebración del evento CARIFESTA’79, se aborda el tema de la identidad cultural de los pueblos del área."
Islas Sonantes,1981,Cuba,Documentary,35 mm,10',Color,ICAIC,,Miguel Torres,n/a,Jorge Abello,"Juan Demósthene, Raúl García",Roberto Fernández,"Reportaje sobre el encuentro CARIFESTA’81 celebrado en la Isla de Barbados, en que se muestra la identidad cultural de los pueblos del Caribe."
Brixton To Barbados,1981,UK,Documentary,n/a,58',Color,"David Haylock Productions, BBC Arena",Alan Yentob,"Anthony Wall, Bill Andrews",Linton Kwesi Johnson,Gerry Pomeroy,"Tom Horn, Tad Donnen, John Hooper","David Haylock, Bob Pellegrini, C.J. Collins, Colin Waldeck, Ken Morse","Documentary in which Jamaican-born poet Linton Kwesi Johnson, now resident in Brixton, visits Carifesta, a festival of West Indian culture held in Barbados, and surveys a small part of the very diverse cultural activity of the Islands. Performers include: South Stars - Trinidad; Network - Trinidad; Shake Keane - St Vincent; Bahamas National Dance Company; The Soulful Groovers - the Bahamas; Rebirth; the Renegades - Trinidad; Drama Group - Montserrat; the Mighty Arrow - Montserrat; Chronicle Atlantic Symphony Steel Orchestra; Michael Smith - Jamaica; the Dicey Doh Singers - Bahamas; the Mighty Sparrow - Trinidad; Irakere - Cuba."
Carifesta,1982,France,Documentary,16 mm,54',Color,UNESCO TV,,Eduardo Barrios,n/a,Raymond Lopez,Bernard Galy,"Philippe Leclaire, Alain Casanova","Tourné à la Barbade lors du Festival International Carifesta 81. Arts, musiques, danses, chants et théâtre, interprétés par plus de 3000 artistes des Caraïbes, du 14 juillet au 10 août 1981.
Le Festival des arts des Caraïbes (CARIFESTA) est le premier festival des arts de la Communauté des Caraïbes. L'événement, qui vise à promouvoir le dialogue interculturel et à mettre en valeur la diversité culturelle et la richesse des expressions culturelles des peuples de la région, a eu lieu en Guyane (1972, 2008), la Jamaïque (1976), Cuba (1979), Barbade (1981), Trinité-et-Tobago (1992, 1995, 2006), Saint-Kitts-et-Nevis (2000) et Suriname (2003)."
Family of the Caribbean,1983,Trinidad and Tobago,Documentary,,53',Color,Banyan Productions,Bruce Paddington,Bruce Paddington,Michael Gilkes,Christopher Laird,Deighton Parris,Clifford Seedansingh,"The only work of its kind in the world. The Family of the Caribbean, for the first time, looks at Caribbean Culture - music, visual arts, dance, theatre, literature and people as a whole. Taking CARIFESTA 1981, the Caribbean festival of the Arts as it's touchstone, the documentary reveals the many levels of shared experience and expression in the world's most multicultural region as a new civilisation begins to define itself. Written and Narrated by Dr. Michael Gilkes of the University of the West Indies, The Family of the Caribbean is a unique and exciting testament to the Caribbean and its people."
